"name","party","candidate_url","biography","phone","photo_url","filed_mailing_address_location_name","filed_mailing_address_state","filed_mailing_address_line1","filed_mailing_address_line3","filed_mailing_address_line2","filed_mailing_address_zip","filed_mailing_address_city","email","sort_order","id"
"ALEX PADILLA","Democratic","http://www.alex-padilla.com","","(323) 254-5700","","","","","","","",""," ideas@alex-padilla.com ","1","660000"
"ASHLEY SWEARENGIN","Republican","http://www.ashleyforca.com/","","(559) 565-5066","","","","","","","","","allyson@ashleyforca.com","1","660001"
"BETTY T. YEE","Democratic","http://bettyyee.com/","","(415) 692-3556","","","","","","","","","info@bettyyee.com","2","660002"
"DAVE JONES","Democratic","http://www.davejones2014.com/","","(916) 349-4236","","","","","","","","","TeamDaveJones@gmail.com","1","660003"
"EDMUND G. `JERRY` BROWN","Democratic","http://jerrybrown.com","","(510) 628-0202","","","","","","","","","","1","660004"
"GAVIN NEWSOM","Democratic","http://www.gavinnewsom.com/","","(415) 346-9876","","","","","","","","","gavin@gavinnewsom.com","2","660005"
"GREG CONLON","Republican","http://www.gregconlon.com/","","(916) 850-2782","","","","","","","","","greg@gregconlon.com","2","660006"
"JOHN CHIANG","Democratic","http://www.electjohnchiang.com/","","(626) 535-9616","","","","","","","","","ElectJohnChiang@gmail.com","1","660007"
"KAMALA D. HARRIS","Democratic","http://kamalaharris.org/","","(415) 981-9940","","","","","","","","","info@kamalaharris.org","1","660008"
"MARSHALL TUCK","Non-Partisan","http://www.marshalltuck.com/","","(323) 332-9859","","","","","","","","","hello@marshalltuck.com","2","660009"
"NEL KASHKARI","Republican","http://www.neelkashkari.com/","","(916) 538-6502","","","","","","","",""," inquiry@neelkashkari.com ","2","660010"
"PETE PETERSON","Republican","http://www.petesos.com/home","","(323) 450-7536","","","","","","","",""," pete@petesos.com","2","660011"
"RON NEHRING","Republican","http://www.ronnehring.com/","","","","","","","","","","","ron@ronnehring.com","1","660012"
"RONALD GOLD","Republican","http://www.rongold.org/","","(818) 610-8335","","","","","","","","","rongold@rongold.org ","2","660013"
"TED GAINES","Republican","http://www.tedgaines.com","","(916) 221-5770","","","","","","","","","ted@tedgaines.com","2","660014"
"TOM TORLAKSON","Non-Partisan","http://www.tomtorlakson.com/","","(925) 386-6774","","","","","","","","","tom@tomtorlakson.com","1","660015"
